Number of Nodes,Number of Relationships,Density,Average Node Degree,Max Node Degree,Min Node Degree,Sparsity,Text Index,category
17,15,0.8823529411764706,1.7647058823529411,2,1,0.9480968858131488,0,0
45,41,0.9111111111111111,1.8222222222222222,8,1,0.9797530864197531,1,0
60,50,0.8333333333333334,1.6666666666666667,6,1,0.9861111111111112,2,0
45,46,1.0222222222222221,2.0444444444444443,5,1,0.9772839506172839,3,0
57,39,0.6842105263157895,1.368421052631579,9,1,0.9879963065558633,4,0
39,32,0.8205128205128205,1.641025641025641,6,1,0.9789612097304405,5,1
31,24,0.7741935483870968,1.5483870967741935,7,1,0.9750260145681582,6,1
29,17,0.5862068965517241,1.1724137931034482,11,1,0.9797859690844233,7,1
31,22,0.7096774193548387,1.4193548387096775,6,1,0.9771071800208116,8,1
45,59,1.3111111111111111,2.6222222222222222,6,1,0.9708641975308642,9,1
40,42,1.05,2.1,14,1,0.97375,10,1
28,24,0.8571428571428571,1.7142857142857142,6,1,0.9693877551020408,11,1
25,24,0.96,1.92,7,1,0.9616,12,1
20,27,1.35,2.7,9,1,0.9325,13,1
22,25,1.1363636363636365,2.272727272727273,8,1,0.9483471074380165,14,1
