Number of Nodes,Number of Edges,Density,Average Degree,Max Degree,Min Degree,Sparsity,Average Top 5 PageRanks,Leiden Clusters
68,59,0.012949956101843723,1.7352941176470589,3,1,0.9872404844290658,0.028124731651177688,"{0: {'Top Nodes': ['Supplement', 'Moment Of Differance', 'Metallic Artifacts'], 'PageRanks': [0.023369304010239154, 0.021823826743989087, 0.020003310570901964]}, 1: {'Top Nodes': ['Molecular Structure', 'Labyrinthine Patterns', 'Intricately Designed Croissants'], 'PageRanks': [0.021823826743989087, 0.020003310570901964, 0.017865986561146636]}, 2: {'Top Nodes': ['History', 'Divine', 'Renaissance Painters'], 'PageRanks': [0.02929878890894326, 0.028804490567451473, 0.028228121388837162]}, 3: {'Top Nodes': ['Mundane', 'Numinous', 'Moment Of Epiphanic Insight'], 'PageRanks': [0.021823826743989087, 0.020003310570901964, 0.017865986561146636]}, 4: {'Top Nodes': ['Crystal Lattice Structure', 'Paradigmatic Shift', 'Sonic Resonance'], 'PageRanks': [0.020913568657445522, 0.018934648566024302, 0.01660859966982512]}, 5: {'Top Nodes': ['Universe', 'Metal Identity', 'Metallic Resonance'], 'PageRanks': [0.014500612100017386, 0.014500612100017386, 0.0113920250006067]}, 6: {'Top Nodes': ['Correlation', 'Quantum Floristry', 'Copper ( Ii ) Oxide'], 'PageRanks': [0.025796721135758958, 0.024681216674827984, 0.023369304010239154]}, 7: {'Top Nodes': ['Cosmos', 'Ear Of The Soul', 'Initiated'], 'PageRanks': [0.020003310570901964, 0.017865986561146636, 0.0153512127785036]}, 8: {'Top Nodes': ['Subconscious', 'Phantasmagoric Landscapes', 'Metallic Reflections'], 'PageRanks': [0.0153512127785036, 0.012392624530209655, 0.008912131346856776]}, 9: {'Top Nodes': ['Immanent', 'Transcendent', 'Ineffable Synthesis'], 'PageRanks': [0.012392624530209655, 0.008912131346856776, 0.004817408923227162]}, 10: {'Top Nodes': ['Base Metals', 'Noble Counterparts', 'Alchemical Processes'], 'PageRanks': [0.006864770135041968, 0.006864770135041968, 0.004817408923227162]}, 11: {'Top Nodes': ['Higher, More Enlightened State Of Existence', 'Human And Metal Consciousness', 'Metallurgical Transhumanism'], 'PageRanks': [0.012392624530209655, 0.008912131346856776, 0.004817408923227162]}}"
43,37,0.020487264673311186,1.7209302325581395,6,1,0.9799891833423472,0.0563404824556038,"{0: {'Top Nodes': ['Group Cohesion', 'Dance Performances', 'Coordinated Dance Rituals'], 'PageRanks': [0.05935983333652161, 0.025702843556881294, 0.019798131355491577]}, 1: {'Top Nodes': ['Synchronization', 'Gesture Forecasting', 'Virtual Flamenco Guru'], 'PageRanks': [0.04636955331461021, 0.037512267959660735, 0.025702843556881294]}, 2: {'Top Nodes': ['Cohesive Performance', 'Effective Performance', 'Artistic Expression'], 'PageRanks': [0.015861656554565104, 0.015861656554565104, 0.015861656554565104]}, 3: {'Top Nodes': ['Group Coordination', 'Dance Therapy', 'Human-Computer Interaction'], 'PageRanks': [0.016845775254796722, 0.016845775254796722, 0.016845775254796722]}, 4: {'Top Nodes': ['Data Collection Systems', 'Human Movement', 'Dance'], 'PageRanks': [0.025702843556881294, 0.021175940946388826, 0.021175940946388826]}, 5: {'Top Nodes': ['Successful Coordinated Dance Performances', 'Communication Between Dancers', 'Perception Of Own Bodies'], 'PageRanks': [0.01782989395502834, 0.01782989395502834, 0.01782989395502834]}, 6: {'Top Nodes': ['Lstm Networks', 'Machine Learning', 'Gestures'], 'PageRanks': [0.06858310896583866, 0.06434778461278663, 0.043042132048261864]}, 7: {'Top Nodes': ['Improvements To The Rehearsal Process', 'Targeted Interventions'], 'PageRanks': [0.025702843556881294, 0.013893419154101862]}}"
46,35,0.016908212560386472,1.5217391304347827,4,1,0.9834593572778828,0.03956234196920477,"{0: {'Top Nodes': ['Chloroplasts', 'Floricultural Axioms', 'Gastronomical Ontologies'], 'PageRanks': [0.04050544979287934, 0.03814768023369293, 0.03814768023369293]}, 1: {'Top Nodes': ['Photosynthetic Phenotypes', 'Chloroplastic Membrane Fluidity', 'Environmental Thermodynamics'], 'PageRanks': [0.03270032665221654, 0.023515892259750724, 0.021976163724109425]}, 2: {'Top Nodes': ['Gas Exchange', 'Water Conservation', 'Plant Life'], 'PageRanks': [0.015412613582231031, 0.015412613582231031, 0.015412613582231031]}, 3: {'Top Nodes': ['Existential Implications Of Pastry Making', 'Societal Norms', '19Th Century France'], 'PageRanks': [0.023515892259750724, 0.01937445601055516, 0.01937445601055516]}, 4: {'Top Nodes': ['Plant Consciousness', 'Plant Physiology', 'Molecular Phylogeny'], 'PageRanks': [0.04050544979287934, 0.03270032665221654, 0.023515892259750724]}, 5: {'Top Nodes': ['Velociraptor - Shaped Cookies', 'Photographic Film', 'Global Market'], 'PageRanks': [0.04050544979287934, 0.03270032665221654, 0.023515892259750724]}, 6: {'Top Nodes': ['Subterranean Fungal Networks', 'Photosynthetic Ontologies', 'Photosynthetic Universe'], 'PageRanks': [0.01631297787973322, 0.01631297787973322, 0.01631297787973322]}, 7: {'Top Nodes': ['Sentience', 'Empathy', 'Quokkas'], 'PageRanks': [0.018113706474737597, 0.018113706474737597, 0.012711520689724465]}, 8: {'Top Nodes': ['Photosynthetic Organisms', 'Rogue Waves', 'John Doe'], 'PageRanks': [0.018113706474737597, 0.018113706474737597, 0.012711520689724465]}, 9: {'Top Nodes': ['Vegetal World', 'Sunlight'], 'PageRanks': [0.023515892259750724, 0.012711520689724465]}, 10: {'Top Nodes': ['Modern Science', 'Philosophical Underpinnings'], 'PageRanks': [0.023515892259750724, 0.012711520689724465]}}"
47,45,0.020814061054579093,1.9148936170212767,8,1,0.9796287913082843,0.04380102767006241,"{0: {'Top Nodes': ['Students', 'Experiments', 'Investigations'], 'PageRanks': [0.02012205038590381, 0.01812163536943862, 0.01812163536943862]}, 1: {'Top Nodes': ['Tailored Learning Experiences', 'Increased Student Motivation', 'Personalized Learning Experiences'], 'PageRanks': [0.0363253590453259, 0.03551512385239194, 0.026123295435299395]}, 2: {'Top Nodes': ['Student Success', 'Learning Outcomes', 'Learning Experience'], 'PageRanks': [0.055842608531007636, 0.04908528844344845, 0.033324736520628104]}, 3: {'Top Nodes': ['Online Education', 'Early Warning Signs Of Student Burnout And Disillusionment', 'Targeted Support'], 'PageRanks': [0.039626096796439456, 0.015621116598857124, 0.015621116598857124]}, 4: {'Top Nodes': ['Student Behavior', 'Learning Patterns', 'Knowledge Gaps'], 'PageRanks': [0.017440242349019346, 0.017440242349019346, 0.017440242349019346]}, 5: {'Top Nodes': ['Student Mood', 'Emotional State', 'Background Music'], 'PageRanks': [0.03812578553409056, 0.03032411399593032, 0.014120805336508228]}, 6: {'Top Nodes': ['Reduced Student Procrastination', 'Improved Time Management Skills', 'Personalized Learning Platforms'], 'PageRanks': [0.02012205038590381, 0.02012205038590381, 0.014120805336508228]}}"
63,59,0.015104966717869943,1.873015873015873,16,1,0.9851347946586042,0.035753121460360617,"{0: {'Top Nodes': ['Graphite', 'Chicken Parmesan', 'Egyptian Hieroglyphics'], 'PageRanks': [0.035829618855224496, 0.016643340711960886, 0.014652004994334417]}, 1: {'Top Nodes': ['Abstract Concepts', 'Physical Properties', 'Graphitic Carbon'], 'PageRanks': [0.03841578888280446, 0.0358816971072169, 0.03288640133544887]}, 2: {'Top Nodes': ['Aerodynamic Properties', 'Graphite Particles', 'High-Performance Sports Equipment'], 'PageRanks': [0.03575210112110833, 0.023115176765456387, 0.016643340711960886]}, 3: {'Top Nodes': ['New Theory Of Graphitic Carbon', 'Crystalline Structure', 'Principles Of Physics'], 'PageRanks': [0.02037434235878982, 0.014652004994334417, 0.013692757019139391]}, 4: {'Top Nodes': ['Sonnet 18', 'Beauty', 'Mortality'], 'PageRanks': [0.02037434235878982, 0.01657911822624393, 0.01657911822624393]}, 5: {'Top Nodes': ['Migratory Birds', 'Flight Patterns', 'Structural Integrity'], 'PageRanks': [0.030932539315353814, 0.023115176765456387, 0.01751317367656212]}, 6: {'Top Nodes': ['Baking Of Croissants', 'Sentient Toasters', 'Superposition'], 'PageRanks': [0.026327315910858275, 0.010827803307273835, 0.010827803307273835]}, 7: {'Top Nodes': ['Forgotten Civilizations', 'Ancient Forests', 'Harmonica'], 'PageRanks': [0.02037434235878982, 0.014652004994334417, 0.00792003460493031]}, 8: {'Top Nodes': ['Interpretative Dance', 'Pastry Baking', 'Extraterrestrial Beings'], 'PageRanks': [0.012281687658445598, 0.012281687658445598, 0.010262766558604332]}, 9: {'Top Nodes': ['The Metamorphosis', 'Kafka', 'Fungus'], 'PageRanks': [0.022067015785014042, 0.016643340711960886, 0.010262766558604332]}, 10: {'Top Nodes': ['Rare Flowers', 'Dolphins'], 'PageRanks': [0.014652004994334417, 0.00792003460493031]}, 11: {'Top Nodes': ['Butterflies', 'Missing Socks'], 'PageRanks': [0.014652004994334417, 0.00792003460493031]}, 12: {'Top Nodes': ['Butterfly Wings', 'Cosmos'], 'PageRanks': [0.014652004994334417, 0.00792003460493031]}}"
32,31,0.03125,1.9375,7,1,0.9697265625,0.05968959703906136,"{0: {'Top Nodes': ['Accuracy', 'F1 Scores', 'Semantic Nlp Tasks'], 'PageRanks': [0.04034046998211248, 0.04034046998211248, 0.030468466381628343]}, 1: {'Top Nodes': ['Generalization', 'Domain - Specific Details', 'Training Data'], 'PageRanks': [0.026519664941434692, 0.026519664941434692, 0.026519664941434692]}, 2: {'Top Nodes': ['Machine Learning Models', 'Nearest Neighbor Classifiers', 'Kernel-Based Methods'], 'PageRanks': [0.12918850238646962, 0.023228997074606652, 0.023228997074606652]}, 3: {'Top Nodes': ['Computational Linguistics', 'Machine Learning', 'Lexical Semantics'], 'PageRanks': [0.028164998874848718, 0.028164998874848718, 0.028164998874848718]}, 4: {'Top Nodes': ['Protest', 'Street'], 'PageRanks': [0.042973004275574905, 0.023228997074606652]}, 5: {'Top Nodes': ['Dataset', 'Fares'], 'PageRanks': [0.042973004275574905, 0.023228997074606652]}, 6: {'Top Nodes': ['Compound Relations', 'Noun - Noun Compounds'], 'PageRanks': [0.042973004275574905, 0.023228997074606652]}}"
25,22,0.03666666666666667,1.76,6,1,0.9648,0.07400392991618021,"{0: {'Top Nodes': ['Justification', 'Accuracy', 'Forecast'], 'PageRanks': [0.0634916868945587, 0.056915233630513894, 0.042940035199388174]}, 1: {'Top Nodes': ['Crowd Wisdom', 'Judgments', 'Individual Inputs'], 'PageRanks': [0.10750370095543244, 0.09916899290100786, 0.042940035199388174]}, 2: {'Top Nodes': ['Daily', 'Active', 'Calling A Question'], 'PageRanks': [0.029787128671298572, 0.029787128671298572, 0.023210675407253772]}, 3: {'Top Nodes': ['Accuracy Of Aggregated Crowd-Sourced Forecasts', 'Wisdom Of The Crowd'], 'PageRanks': [0.042940035199388174, 0.023210675407253772]}, 4: {'Top Nodes': ['Research Community', 'Answering Platforms'], 'PageRanks': [0.042940035199388174, 0.023210675407253772]}, 5: {'Top Nodes': ['Language', 'Person'], 'PageRanks': [0.042940035199388174, 0.023210675407253772]}}"
26,20,0.03076923076923077,1.5384615384615385,4,1,0.9704142011834319,0.07684609462924522,"{0: {'Top Nodes': ['Safety - Critical Applications', 'Neural Networks', 'Machine Learning Models'], 'PageRanks': [0.13002994279808153, 0.049498175788031784, 0.029776258313062836]}, 1: {'Top Nodes': ['B', 'I', 'C'], 'PageRanks': [0.07941011301742397, 0.042924203296375474, 0.023202285821406522]}, 2: {'Top Nodes': ['Safe_Predictor', 'Input_Space_X', 'Output_Space_Y'], 'PageRanks': [0.042924203296375474, 0.04144524068193077, 0.04144524068193077]}, 3: {'Top Nodes': ['Acas Xu', 'Reluplex', 'Abstraction Refinement Optimization'], 'PageRanks': [0.06264612077134442, 0.023202285821406522, 0.023202285821406522]}, 4: {'Top Nodes': ['F', 'G', 'W'], 'PageRanks': [0.06264612077134442, 0.023202285821406522, 0.023202285821406522]}, 5: {'Top Nodes': ['Safety Property', 'Neural Network'], 'PageRanks': [0.042924203296375474, 0.023202285821406522]}, 6: {'Top Nodes': ['X', 'Σ'], 'PageRanks': [0.042924203296375474, 0.023202285821406522]}}"
32,29,0.029233870967741934,1.8125,8,1,0.9716796875,0.08147507324367613,"{0: {'Top Nodes': ['Generalization Error Bounds', 'Classification Problems', 'Regression Problems'], 'PageRanks': [0.09994982765980243, 0.05975206888544114, 0.05975206888544114]}, 1: {'Top Nodes': ['Generalization Error', 'Neural Restricted Isometryproperty (Neurips)', 'Relu Networks'], 'PageRanks': [0.09568032970374146, 0.09224107108395448, 0.017272650812879653]}, 2: {'Top Nodes': ['R', 'W', 'B'], 'PageRanks': [0.02094307174570702, 0.02094307174570702, 0.02094307174570702]}, 3: {'Top Nodes': ['Shallow Relu Networks', 'Chaining Theory', 'Neural Restricted Isometry Property'], 'PageRanks': [0.02094307174570702, 0.02094307174570702, 0.02094307174570702]}, 4: {'Top Nodes': ['Generalization', 'Risk Surface', 'Neural Networks'], 'PageRanks': [0.044434347460409154, 0.031954334544189125, 0.017272650812879653]}, 5: {'Top Nodes': ['Empirical Risk Minimizers', 'Empirical Risk', ""Stochastic Processes ' Chaining Theory""], 'PageRanks': [0.039295176409843854, 0.017272650812879653, 0.017272650812879653]}, 6: {'Top Nodes': ['Model Discovery', 'Supervised Machine Learning'], 'PageRanks': [0.031954334544189125, 0.017272650812879653]}, 7: {'Top Nodes': ['Model Limitations', 'Statistical Learning Theory'], 'PageRanks': [0.031954334544189125, 0.017272650812879653]}}"
30,27,0.03103448275862069,1.8,5,1,0.97,0.08485226907259324,"{0: {'Top Nodes': ['Computer Vision Research', 'Convolutional Neural Networks (Cnns)', 'Dense Trajectories'], 'PageRanks': [0.10818587528863821, 0.09274550070471352, 0.015867416283981396]}, 1: {'Top Nodes': ['Hit', 'Ball', 'Foul'], 'PageRanks': [0.01923929133598555, 0.01923929133598555, 0.01923929133598555]}, 2: {'Top Nodes': ['Segmented Videos', 'Activity Recognition', 'Action Recognition'], 'PageRanks': [0.07798887244637735, 0.07308424537402619, 0.02261116638798971]}, 3: {'Top Nodes': ['Continuous Video Streams', 'Activity Detection', 'Broadcast Baseball Videos'], 'PageRanks': [0.07225685154921097, 0.06634049527001787, 0.020363249686653602]}, 4: {'Top Nodes': ['Public Domain', 'Data', 'High-Speed Cameras'], 'PageRanks': [0.05228300008066365, 0.04284241670001465, 0.015867416283981396]}, 5: {'Top Nodes': ['Activitynet', 'Long Short - Term Memory Networks ( Lstms )', 'Max - Pooling Across Entire Videos'], 'PageRanks': [0.020363249686653602, 0.020363249686653602, 0.020363249686653602]}, 6: {'Top Nodes': ['Two-Stream Cnn Architectures', 'Spatial Rgb Frames', 'Opticalflow Frames'], 'PageRanks': [0.04284241670001465, 0.015867416283981396, 0.015867416283981396]}}"
