Number of Nodes,Number of Relationships,Density,Average Node Degree,Max Node Degree,Min Node Degree,Sparsity,Text Index
52,58,1.1153846153846154,2.230769230769231,14,1,0.9785502958579881,0
44,47,1.0681818181818181,2.1363636363636362,7,1,0.9757231404958677,1
59,46,0.7796610169491526,1.5593220338983051,4,1,0.9867854064923872,2
101,101,1.0,2.0,15,1,0.9900990099009901,3
59,55,0.9322033898305084,1.8644067796610169,11,1,0.9841999425452457,4
56,53,0.9464285714285714,1.8928571428571428,8,1,0.9830994897959183,5
31,44,1.4193548387096775,2.838709677419355,6,1,0.9542143600416233,6
81,87,1.0740740740740742,2.1481481481481484,11,1,0.9867398262459991,7
68,61,0.8970588235294118,1.7941176470588236,8,1,0.9868079584775087,8
25,33,1.32,2.64,7,1,0.9472,9
26,37,1.4230769230769231,2.8461538461538463,12,1,0.9452662721893491,10
29,21,0.7241379310344828,1.4482758620689655,4,1,0.9750297265160524,11
47,44,0.9361702127659575,1.872340425531915,9,1,0.9800814848347669,12
49,43,0.8775510204081632,1.7551020408163265,6,1,0.9820907955018742,13
53,51,0.9622641509433962,1.9245283018867925,11,1,0.9818440726237095,14
