Node ID,Node Name,Degree,Text Index
Graphite,,14,0
Dolphins,,2,0
Rare Flowers,,1,0
Dark Matter,,2,0
Chicken Parmesan,,1,0
Missing Socks,,1,0
Butterflies,,2,0
Harmonica,,2,0
Ancient Forests,,2,0
Sentient Toasters,,2,0
Extraterrestrial Beings,,5,0
Pastry Baking,,2,0
Cosmos,,1,0
Butterfly Wings,,2,0
Quantum Mechanics,,2,0
Superposition,,2,0
Entanglement,,1,0
Croissants,,2,0
Flaky Pastry Crusts,,2,0
Sonnets Of Shakespeare,,3,0
Sonnet 18,,2,0
Beauty,,2,0
Mortality,,3,0
Graphitic Carbon,,1,0
Aerodynamic Properties,,1,0
Migratory Birds,,3,0
Arctic Tern,,4,0
Nest Building Materials,,1,0
Wind Turbine Blades,,1,0
John Doe,,2,0
Postmodern Philosophy,,1,0
Human Condition,,3,0
Critics,,1,0
Practical Applications,,1,0
High-Performance Sports Equipment,,1,0
Tennis Rackets,,2,0
Golf Clubs,,4,0
Graphite Particles,,1,0
Ancient Art,,1,0
Japanese Calligraphy,,2,0
Brushstrokes,,2,0
Fractal Patterns,,2,0
Microstructure Of Graphite,,2,0
Chaos Theory,,2,0
Physical Properties,,2,0
Abstract Concepts,,2,0
Mathematics,,2,0
Fibonacci Sequence,,2,0
Crystalline Structure,,2,0
Theory Of Graphitic Carbon,,2,0
Physics,,2,0
Philosophy,,3,0
Photosynthetic Pathways,,3,1
Stomatal Aperture Regulation,,2,1
Gas Exchange,,2,1
Water Conservation,,3,1
Plant Life,,1,1
Photosynthetic Metabolism,,1,1
Photon Irradiance,,1,1
Chloroplastic Membrane Fluidity,,1,1
Photosynthetic Phenotypes,,3,1
Environmental Thermodynamics,,1,1
Ecophysiological Processes,,1,1
Biogeochemical Processes,,2,1
Photosynthetic Mechanisms,,1,1
Pastry Making,,1,1
Societal Norms Of 19Th Century France,,2,1
Paradigmatic Structures,,2,1
Chlorophyll-Based Energy Production,,3,1
Quokkas,,1,1
Sentience,,1,1
Empathy,,1,1
Wheat,,2,1
Global Market,,1,1
Photographic Film,,1,1
Velociraptor-Shaped Cookies,,1,1
Philosophical Underpinnings Of Modern Science,,2,1
John Doe,,1,1
Photosynthesis,,1,1
